,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"^","","","^","^",,"","","","","","",,,,,,"","","^","^","^",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Noatak","Kivalina","Wevok","Atqasuk","Utqiagvik",,,,,,,,,,,,,,,"",,"",,"^","","","",,,"","^","^","","","","",,,,,,"","","^","^","^","",,,,,,,,"Seydisfjordur",,,,,,,,,,,,,,,,,,
,,,,"",,,"","",,"Kotzebue","^","","","Nuiqsut",,,,,,,,,,,,"","",,,,,,,,"","^",,,,,"","","","","","","","",,,,"","^","^","^",,"",,,,,,"Akureyri","Egilsstadir","Hofn",,,,,,,,,,,,,,,,,
,,,,,,,"Nome","","Selawik","Noorvik","","^","^","Umiat","Sagwon",,,,,,,,,,,,,"^","",,,"","",,,,,,,"",,,,"","","","","","","","","","","","^","^","^",,,,"Isafjordur","""Hvammstangi","Grundarfjordur","Vik","^",,,,,,,,,,,,,,,,,
,"",,,"Kongiganak","Alakanuk",,"","","Tanana","","","","Anaktuvuk","^","^","Kaktovik",,,,,,,,"","",,"","","",,"",,"","","^","^",,,,,,,,,,"","","^","^","","",,"",,"","^",,,,,,,"Borgames","Reykjavik",,,,,,,,,,,,,,,,,,
,,,"Quinhagak","Aniak","Anvik","Shaktoolik","Koyuk","","","","","","","","^","","",,,,,,"","",,"",,,,,,"",,,,,"","^",,,,,,,,,"",,,"^","","",,"","^","",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Togiak","","","","","","","","^","","","","","","","Inuvik","Tuktoyaktuk","",,,,,"Ulukhaktok","","","",,"","",,,"","^","^","","","^","^",,,,,,,,"","^","","",,,"","^","^","",,,,,,,,,,,,,,,,,,,,,,,,,
,,"Aleknagik","","","^","^","^","^","","Fairbanks","","^","","","^","","","","","","","Paulatuk",,"","","","","","",,,"",,"","","","","","","","","^","",,,,,,,"","","",,"","^","",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"","^","","","","","^","","","","","^","^","^","","","",,,"","",,"","",,"","",,,"","Kugaaruk",,,,,"","","","",,"^",,,,,,,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,
,"","Chignik","","",,,"Anchorage","^","","^","^","","","^","^","^","","",,,"","","","Kugluktuk",,,"",,,,"","","","",,"","Igloolik",,,,"","","","","Pangnirtung","^",,,,,"Nuuk","","","","","^","",,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,"","",,"","^","","^","Whitehorse","","^","","","","","","","","","","","","Umingmaktuuq","","","","","","","","","","",,"",,,"",,"",,"^","^",,,,,,"","","","","^","",,,,,,,,,,,,,,,,,,,,,,,,
,,,"Akhiok","Kodiak",,,,,,"","^","","","","","","","","","",,"","","","","","","","","","","","","","",,,,,"","","","","","Iqaluit",,,,,,,,,,"","","","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"","^","","","","^","","","","",,,,"","","","","","","","","","","","",,"","","",,,,,,"","","^","^",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Sitka","^","","","^","","","","","","",,"","","","","","","","","","Arviat",,,,,,,,,"Ivujivik","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"","^","^","","^","^","","","","","","","","","","","","","","","",,,,,,"",,"",,"","","","","Quaqtaq",,,,"Killiniq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"","^","^","","^","","","","","","","","","","","","","","","",,,,,,,,,,"","","","","","",,,"","^",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"",,"","^","^","^","","","","","",,,,"","","",,"","","","","",,,,,,,,,,"Puvirnituq","","","","","Kuujjuaq","","",,"","Nain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"^","","^","^","^","^","Grande Cahce","","","","","","","",,"","","","","","","",,,,,,,,,,"","","","","","","","","","","","","Makkovik",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"","^","","","^","^","Hinton","Spruce Grove","Edmonton","","","","","","","","",,"","","","","","","",,,,,,"Umiujaq","",,"","","","","",,,"","",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Port Hardy",,"^","","Kamloops","","^","","","Red Deer","","","","Saskatoon","Humboldt","",,"",,"","","","","","","","","",,,"","","","","","","",,"","",,"","","","^","",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Victoria",,"Vancouver","^","Kelowna","^","","^","Airdrie","Drumheller","","","","","","Dauphin",,"","Winnipeg",,"","",,"","","","","","",,,"",,"","","","","","","","","Havre-Saint-Pierre","","","Blanc-Sablon",,"L'Anse aux Meadows",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"","","^","^","","^","Calgary","","","","","Moose Jaw","Regina","","Neepawa","","","","","","","","","","","","",,,"","","","","","",,"Saguenay","Baie-Comeau","Sept-Iles",,,,,,"Rocky Harbour","Deer Lake","Bonavista",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"",,"","^","","^","^","Canmore","Okotoks","Medicine Hat","","","","","","","","","","","","","",,,"","","","","","","","","","","","","","Quebec",,,,,,,,"Stephenville","","Slarenville",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"^","Seattle","^","","Spokane","","^","^","","","Havre","","","","","","","","","","","",,,,,"","","","","","","","","","","","Trois-Rivieres",,"Riviere-du-Loup","Rimouski","Gaspe",,"Summerside",,,,,,"St. John's",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Olympia","Tacoma","^","Pullman","","","^","","","Great Falls","","Glasgow","Glendive","Williston","New Town","Minot","Devils Lake","Grand Forks","","","""Duluth",,,"Houghton",,,"Sault Ste Marie","","Sudbury","","","","","Ottawa","","","Montreal",,"","","Edumndston","Fredericton","Moncton",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"",,,"^","Yakima","","^","^","Missoula","Helena","","","","Miles City","Medora","Dickinson","Bismarck","","Fargo","St Cloud","","","","","","Marquette","Mackinaw",,,,"","","","","","","",,"","Sherbrooke","^","","Saint John",,"Halifax","Antigonish",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Lincoln City","","Portland","^","","","","","^","^","Butte","Bozeman","Billings","Hardin","","","","","","","","Minneapolis","","","","",,,"Petoskey",,,,"","","","","Kingston",,"","Burlington","Concord","Portland","Bangor",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Newport","Eugene","Salem","^","","","","","","^","Big Sky","^","","^","Sheridan","","Spearfish","Sturgis","Aberdeen","","",,"","","","Appleton","Green Bay",,"Traverse City","",,"","Huron","Mississauga","Toronto",,,"Watertown","Potsdam","^","Portsmouth",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Grants Pass","Medford","^","Bend","","^","Boise","Twin Falls","Pocatello","Idaho Falls","^","Cody","^","","Buffalo","Gillete","","Rapid City","","","","Rochester",,"","Madison","Milwaukee",,,"Grand Rapids","Lansing","Detroit","","London","Hamilton",,,"Oswego","Utica","^","Worcester","Boston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Crescent City","^","^","Klamath Falls","","Nampa","","","Logan","","","^","","Casper","","","","","","Sioux Falls","","","",,"","Rockford",,,"","Kalamazoo","",,,,"Buffalo","Rochester","Syracuse",,"Albany","New Haven","Providence","Plymouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"","^","Redding","","^","Winnemucca","Elko","",,"Ogden","^","","","","","","","","","",,"Sioux City","Does Moines","",,"Naperville","Chicago","","","","Fort Wayne","","","","Cleveland","Erie","Ithica","^","Allentown","Newark","New Amsterdam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"","","","^","Reno","","","",,"Salt Lake City","^","","","^","","Cheyenne","","North Platte","","","Omaha",,"","Cedar Rapids","",,"","","","","","Dayton","Columbus","","Akron","Pittsburgh","^","Harrisburg","Philadelphia","Trenton",,"Brooklyn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Sacramento","^",,"","","","Provo","^","","Grand Junction","","Boulder","^","","","Kearney","Grand Island","Lincoln","",,"","Davenport",,"","Peoria","","","Indianapolis","","Cincinnati","","",,"Morgantown","^","Gettysburg","Fort Christina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"San Francisco",,"","","^","","","^","^","","Moab","","","^","Denver","","","","","","",,"","",,"","","","","","",,"",,"Parkersburg","^","Harrisonburg","Baltimore",,"Dover",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"San Jose","Fresno","","^","","","^","Cedar City","","","","^","^","Colorado Springs","","","Hays","","Manhattan","Topeka","Kansas City",,,"St. Louis",,"","","Evansville",,,"",,"Huntington","","^","Charlottesville","Annapolis",,"Pocomoke City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"^","Bakersfield","^","","","^","","","","","^","","^","Pueblo","","","Dodge City","","Wichita","","","","","","",,"",,"","Louisville","Lexington","","","^","Roanoke","Lynchburg","Jamestown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"","^","","","","Las Vegas","","","Flagstaff","","","","Santa Fe","^","","","","","","","","Joplin","Branson","","","",,"Paducah","","","","^","^","^","","","Norfolk","Virginia Beach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Los Angeles","",,"","","","Phoenix","Sedona","^","Gallup","","","","Amarillo","","","","Oklahoma City","","","","Conway","","Jonesboro","",,"","","Nashville","","Knoxville","^","Charlotte","Greensboro","Durham","Raleigh","Kitty Hawk",,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"San Diego","","","","","","","","","Albuquerque","","Clovis","","","","","Norman","","","","Little Rock","","",,"Memphis","","","","Chattanooga","^","Asheville","","Fayetteville","Wilmington","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Tijuana","","Mexicali","","^","","Tucson","","","Almogordo","^","Roswell","Lubbock","","","","","","","","","",,"","","","","Huntsville","Atlanta","Athens","","","Charleston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"","",,"","","^","Sierra Vista","^","","Las Cruces","^","Carlsbad","","","","","","","","","","",,"Jackson","","Tuscaloosa","Birmingham","","Columbus","Macon","Augusta","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Ensenada","",,"","","Nogales","^","^","Ciudad Juarez","El Paso","","Odessa","Midland","Big Spring","","Abilene","Fort Worth","Dallas","Tyler","","Shreveport","",,"","","","Montgomery","","","Valdosta","Savannah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"",,"","Hermosillo","^","","","","","","","","","","Austin","","Waco","","","","","",,"Biloxi","Mobile","Pensacola","Destin","Tallahassee","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"",,,"","^","","","","","Ojinaga","","","","","","","","Houston","",,"","","New Orleans",,,,"Panama City Beach",,"","Gainesville","St. Augustine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"","","",,"","","^","","","Chihuahua","","","","Piedras Negras","","San Antonio","","",,,,,,,,,,,,,"","Orlando",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"","",,,"Los Mochis","","^","","","Delicias","","","Monclova","Neuvo Laredo","Laredo","Corpus Christi",,,,,,,,,,,,,,"Tampa",,"Fort Lauderdale",,"Marsh Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"","",,"","","","","Parral","Camargo","","","^","","Reynosa","",,,,,,,,,,,,,,,"Fort Myers","Miami",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"","",,,"Culiacan","","^","",,"Torreon","Saltillo","^","Monterrey","","",,,,,,,,,,,,,,,,"",,,"Nassau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"","La Paz",,,"","^","Durango","","","","","^","","",,,,,,,,,,,,,,,,,,,,,,"George Town",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"",,,"Mazatlan","","^","","","","^","","","",,,,,,,,,,,,,,"Artemisa","Havana","Matanzas","Varadero","Santa Clara","Caibarien",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Tepic","^","","","Pachuca","^","^","",,,,,,,,,,,,,,"Pinar del Rio",,,,"Cienfuegos","Sancti Spiritus","Moron","Camaguey","Nuevitas",,,,,"Cockburn Town",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Sayulita","^","^","Atlacomulco","^","Zimapan","^","Tamuin","Tiayo",,,,,,,,"Dzibilchaltun","Izamal","Motul","Coba",,,,"Nueva Gerona",,,,"^","Vertientes","Las Tunas","Holguin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"","Apatzingan","Tzintzuntan","Zinapecuaro","^","Tula","Azcapotalco","Teotihuacan","^","El Tajin",,,,,,,"Komchen","Mani","Chichen Itza","Tulum",,,,,,,,,,,"Manzanillo","Mayari","Moa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"","^",,"Huetamo","^","Atlacomuico","Tlatilco",,"^","Zempoala",,,,,,,"Uxmal","Kabah","Becan","Xpuhil",,,,,,,,,,"Campechuela","Bayamo","Santiago de Cuba","Guantanamo","^",,"Gonaives","Cap-Haitien","Hinche","Puerto Plata","Santiago de los Caballeros",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Zacatellan","Mexiquito","^","Xochicalco","Chalcatzingo","Tenochtitlan",,"Cholula","^","Tres Zapotes",,,,,"Atazta","Etzna","Sayil","Xunantunich",,,,,,,,,,,,,,,,,,"Port-au-Prince","^","Mao","La Vega","Nagua",,,,,,,,,,,,,,,,,,,,,,,,
